Energieproduktion in Twh;Braunkohle;Kernenergie;Steinkohle;Erdgas;Mineralölprodukte;Erneuerbare Energien;Übrige
2000;148;170;143;49;6;38;18
2001;155;171;138;56;6;39;17
2002;158;165;135;56;9;46;13
2003;158;165;147;63;10;46;15
2004;158;167;141;63;10;57;15
2005;154;163;134;73;12;63;17
2006;151;167;138;75;11;73;18
2007;155;141;142;78;10;89;19
2008;151;149;125;89;10;94;19
2009;146;135;108;81;10;96;16
2010;146;141;117;89;9;106;20
2011;150;108;112;86;7;124;20
2012;161;100;116;76;8;143;19
2013;161;97;127;67;7;152;20
2014;156;97;119;61;6;161;21
2015;155;92;118;62;6;187;21
2016;150;85;112;81;6;189;22
2017;148;76;93;86;6;215;22
2018;146;76;83;82;5;223;21
2019;114;75;58;90;5;241;20
2020;92;64;43;95;5;250;19
2021;110,4;69,1;54,9;90;4,9;237,1;18,6
2022;116,2;34,7;63,7;79;5,7;251,8;17,9
2023;87,5;7,2;44,1;80;4,9;267;17,3